customer_id,first_order_date,last_order_date,retention_period,order_count,revenue,completed_hours,estimated_hours,revenue_per_hour,cohort
S046-SPOC,1/2/2023,11/12/2024,680,589,1224950.16,5019.95,40770.53,244.0,2023-Jan
S039-SMI,1/2/2023,11/4/2024,672,167,1735076.79,6750.88,7052.44,257.0,2023-Jan
F022-F&D,1/2/2023,11/12/2024,680,848,4079562.35,15797.94,49108.85,258.2,2023-Jan
A050-ALLVA,1/2/2023,11/8/2024,676,43,185338.41,544.54,1042.45,340.4,2023-Jan
S038-STLKI,1/2/2023,11/13/2024,681,314,1993566.46,5715.53,6211.66,348.8,2023-Jan
L005-LBGSY,1/4/2023,8/29/2024,603,54,123022.01,893.09,896.35,137.7,2023-Jan
S002-SREIL,1/4/2023,11/12/2024,678,391,1397917.75,4812.35,28495.32,290.5,2023-Jan
T049-TRU-C,1/4/2023,9/14/2023,253,3,7282.9,5.3,365.19,1374.1,2023-Jan
T042-TRIAN,1/4/2023,8/5/2024,579,7,1535.25,1.02,2.17,1505.1,2023-Jan
N016-NANOL,1/5/2023,10/18/2024,652,30,165485.93,779.28,3731.9,212.4,2023-Jan
M026-MIURA,1/5/2023,11/13/2024,678,751,1240109.62,5638.04,55597.68,220.0,2023-Jan
Y002-YNGTC,1/5/2023,11/8/2024,673,325,8319146.28,25812.8,629649.65,322.3,2023-Jan
S028-SAWTR,1/5/2023,10/23/2024,657,45,298994.65,877.61,14080.89,340.7,2023-Jan
M030-MORGO,1/5/2023,11/12/2024,677,2721,8458041.04,23266.4,317451.3,363.5,2023-Jan
M044-MCFAB,1/5/2023,8/12/2024,585,21,50425.7,118.14,2609.49,426.8,2023-Jan
K016-KELVI,1/5/2023,11/13/2024,678,95,537460.09,1173.54,7563.18,458.0,2023-Jan
K007-KENWO,1/5/2023,9/16/2024,620,59,306671.76,638.41,11572.75,480.4,2023-Jan
C006-C&DTE,1/6/2023,5/22/2024,502,187,238163.65,3122.83,61103.4,76.3,2023-Jan
V007-VNDRL,1/6/2023,11/7/2024,671,209,926472.67,3315.27,42202.45,279.5,2023-Jan
C057-CAGES,1/6/2023,8/23/2024,595,8,100729.9,258.35,20144.14,389.9,2023-Jan
A045-AFS,1/9/2023,7/17/2024,555,78,852007.04,4384.99,26289.35,194.3,2023-Jan
A029-A&ECO,1/9/2023,10/3/2024,633,11,20081.81,51.67,71.62,388.7,2023-Jan
C060-CREA,1/10/2023,10/11/2024,640,28,112894.14,422.63,3232.29,267.1,2023-Jan
R024-RAINB,1/10/2023,10/23/2024,652,38,82615.58,104.35,102.18,791.7,2023-Jan
S025-SAKAI,1/12/2023,10/29/2024,656,126,943502.48,6495.74,53979.07,145.2,2023-Jan
R029-RUSTI,1/13/2023,9/26/2023,256,8,40495.67,108.42,477.04,373.5,2023-Jan
P031-PURSU,1/16/2023,11/30/2023,318,2,4200,7.27,7.9,577.7,2023-Jan
F023-FIVES,1/18/2023,6/6/2023,139,25,13058.42,262.45,2359.18,49.8,2023-Jan
A014-ADF,1/18/2023,5/30/2024,498,4,85573.6,549.35,437.75,155.8,2023-Jan
M029-MHF,1/18/2023,3/22/2024,429,21,43034.28,136.02,147.66,316.4,2023-Jan
K005-KGMFG,1/18/2023,11/14/2023,300,6,28247.07,69.66,79.09,405.5,2023-Jan
P013-PENSA,1/18/2023,8/29/2024,589,32,156943.33,297.37,374.22,527.8,2023-Jan
H026-HUSSM,1/18/2023,11/12/2024,664,116,730257.05,1208.5,1253.98,604.3,2023-Jan
U005-UTELC,1/18/2023,8/1/2024,561,10,9000,13.87,231.52,648.9,2023-Jan
C040-CTSNK,1/19/2023,9/26/2024,616,6,23727.7,92.8,95.12,255.7,2023-Jan
P014-PRMPT,1/19/2023,6/12/2024,510,11,10748.51,6.38,12.8,1684.7,2023-Jan
T011-T&RFI,1/19/2023,1/19/2023,1,1,3369.15,0.36,840.47,9358.8,2023-Jan
B032-,1/20/2023,10/23/2024,642,14,71420,299.01,300.8,238.9,2023-Jan
C048-C&CFA,1/23/2023,1/23/2023,1,1,0,0.61,0.96,0.0,2023-Jan
D011-DAIKI,1/23/2023,10/29/2024,645,25,130962.65,327.84,281.59,399.5,2023-Jan
U002-UENRT,1/27/2023,10/29/2024,641,21,167270,1531.5,1500.87,109.2,2023-Jan
N012-NICHF,1/27/2023,11/13/2024,656,57,89433.77,530.54,11406.85,168.6,2023-Jan
H030-HARCO,1/27/2023,11/4/2024,647,38,38655.54,130.48,173.36,296.3,2023-Jan
V006-VONGA,1/27/2023,1/27/2023,1,1,3038.6,0.7,1.2,4340.9,2023-Jan
W007-WAHSE,1/31/2023,9/17/2024,595,40,172616.79,1050.12,8100.71,164.4,2023-Jan
K006-K&R,1/31/2023,11/12/2024,651,15,76931.5,277.04,631.85,277.7,2023-Jan
H031-HYPER,2/7/2023,11/5/2024,637,33,103738.5,402.26,532.76,257.9,2023-Feb
P023-PRTNL,2/8/2023,6/27/2024,505,6,3155,13.42,30.56,235.1,2023-Feb
MISC,2/9/2023,2/9/2023,1,2,0,120.45,240.48,0.0,2023-Feb
F015-FORDM,2/9/2023,10/3/2024,602,17,59706,310.98,328.37,192.0,2023-Feb
A012-ALADD,2/13/2023,10/11/2024,606,4,12960,98.74,90.75,131.3,2023-Feb
L010-LEGAC,2/14/2023,10/4/2024,598,8,9339.62,39.58,41.7,236.0,2023-Feb
V004-VIBRO,2/15/2023,10/29/2024,622,15,23774,60.27,49.6,394.5,2023-Feb
Y001-YOKOG,2/15/2023,9/25/2023,222,5,2954.32,1.04,481.23,2840.7,2023-Feb
K009-KOMAT,2/17/2023,2/17/2023,1,1,5050,120,120,42.1,2023-Feb
T026-TALOS,2/17/2023,10/2/2024,593,49,186553.08,231.75,5814.55,805.0,2023-Feb
L012-LOZIE,2/20/2023,2/1/2024,346,11,255311.68,1264.63,1484.06,201.9,2023-Feb
B025-BANKP,2/21/2023,5/7/2024,441,13,42166.36,240.94,4443.52,175.0,2023-Feb
C054,2/22/2023,1/10/2024,322,4,2179.1,1.48,2.91,1472.4,2023-Feb
H014-HEATE,2/28/2023,6/3/2024,461,6,56271.18,71.23,106.86,790.0,2023-Feb
M036-MAGIC,3/2/2023,7/8/2024,494,3,2282,19.85,22.61,115.0,2023-Mar
P009-PROTE,3/10/2023,10/10/2024,580,4,2530.25,10.99,3.38,230.2,2023-Mar
W006-WELD,3/13/2023,9/10/2024,547,6,29548.5,120.81,1605.86,244.6,2023-Mar
M040-MORRI,3/16/2023,7/9/2024,481,34,169003.51,360.42,363.31,468.9,2023-Mar
MWS,3/22/2023,11/16/2023,239,2,0,3.32,62.58,0.0,2023-Mar
D002-DCRAF,3/24/2023,6/17/2024,451,5,2105.2,4.71,28.63,447.0,2023-Mar
U013-ULTIM,3/28/2023,10/18/2024,570,11,118648.86,789.18,2559.02,150.3,2023-Mar
C026-CRDM,3/29/2023,10/4/2024,555,10,17864.6,100.21,2322.66,178.3,2023-Mar
E023-ECI,4/11/2023,8/30/2023,141,3,6202.8,16.17,499.74,383.6,2023-Apr
B002-BSAMA,4/11/2023,7/23/2024,469,3,18101.7,28.57,28.89,633.6,2023-Apr
N020-NEXT,5/2/2023,8/28/2024,484,6,12002.5,9,10.92,1333.6,2023-May
H005-HAMES,5/8/2023,10/24/2024,535,12,10275.49,44.13,45.84,232.8,2023-May
D015-DVSMA,5/17/2023,7/16/2024,426,3,865.74,0.43,0.39,2013.3,2023-May
P025-PROCB,5/19/2023,5/19/2023,1,1,481.2,0.29,0.29,1659.3,2023-May
F017-FASTE,5/22/2023,6/9/2023,18,2,1360,7.32,327.32,185.8,2023-May
A038-ADVST,5/23/2023,9/26/2024,492,5,14883.02,47.39,47.4,314.1,2023-May
K008-KINGI,5/31/2023,5/31/2023,1,1,83.13,0.02,0.01,4156.5,2023-May
E014-ENGMF,6/13/2023,9/5/2024,450,3,6072.3,23.39,29.28,259.6,2023-Jun
N008-NOVEL,6/15/2023,11/16/2023,154,2,2570.14,12.64,12.64,203.3,2023-Jun
D017-D&M,6/15/2023,2/19/2024,249,5,13372.96,52.82,52.79,253.2,2023-Jun
R023-ROBNS,6/22/2023,6/22/2023,1,1,2812.24,4.8,4.82,585.9,2023-Jun
T040-TURBO,6/23/2023,4/25/2024,307,2,21760,58.55,377.87,371.6,2023-Jun
W004-WESLE,6/29/2023,7/17/2024,384,6,1760.32,1.96,1.98,898.1,2023-Jun
H034-HTMX,7/18/2023,10/17/2023,91,2,4608.65,0,0,0.0,2023-Jul
A053-AIRMA,7/19/2023,11/12/2024,482,23,30524.97,164.75,16262.65,185.3,2023-Jul
E004-ENVPR,7/21/2023,9/4/2024,411,3,10163.76,38.04,37.95,267.2,2023-Jul
E024-EMC,7/25/2023,8/29/2024,401,9,257146.51,1421.6,6214.09,180.9,2023-Jul
A007-ATR,8/8/2023,8/8/2023,1,1,1245,3.79,3.97,328.5,2023-Aug
M045-MILLE,9/8/2023,10/31/2024,419,67,107448.4,721.45,785.17,148.9,2023-Sep
L017-LINCO,9/8/2023,9/8/2023,1,1,1850,11.11,11.11,166.5,2023-Sep
S001-SISKI,9/21/2023,4/24/2024,216,2,3685,20.78,20.78,177.3,2023-Sep
V009-VERME,10/12/2023,10/12/2023,1,1,422,0.23,160.63,1834.8,2023-Oct
A001-AIRTE,10/23/2023,10/23/2023,1,1,1068,3.98,195.84,268.3,2023-Oct
V008-VT&M,10/25/2023,4/16/2024,174,5,14756.68,173.39,1020.27,85.1,2023-Oct
M046-METCO,11/2/2023,10/28/2024,361,31,36119.89,320.36,344.66,112.7,2023-Nov
C037-CHRKE,11/15/2023,11/15/2023,1,1,2709.9,8.58,8.59,315.8,2023-Nov
B005-BNCHM,11/27/2023,7/31/2024,247,9,10510,37.27,37.25,282.0,2023-Nov
C005-CPELA,11/28/2023,11/7/2024,345,5,4374.17,16.13,20.23,271.2,2023-Nov
J013-JLG,12/15/2023,8/12/2024,241,3,89.1,0.37,1808.37,240.8,2023-Dec
I016-INDPL,1/19/2024,6/5/2024,138,6,7011.36,503.26,503.19,13.9,2024-Jan
A054-AVAIL,1/19/2024,10/14/2024,269,17,81066.27,139.22,98.61,582.3,2024-Jan
A055-AIG,1/30/2024,1/30/2024,1,1,160.86,0.43,0.45,374.1,2024-Jan
B035-BAC,2/2/2024,10/3/2024,244,41,1143699.46,3034.64,3311.46,376.9,2024-Feb
I014-INDUS,2/29/2024,2/29/2024,1,1,396.78,0,0.94,0.0,2024-Feb
M047-MTLWR,3/21/2024,11/12/2024,236,68,104439.36,957.3,858.45,109.1,2024-Mar
G016-GRNDW,4/5/2024,11/13/2024,222,23,304639,1043,2648.02,292.1,2024-Apr
T051-TOYOT,5/16/2024,5/16/2024,1,1,750,0.27,0.27,2777.8,2024-May
D024-DES-C,5/20/2024,7/8/2024,49,3,2427.76,10.64,370.66,228.2,2024-May
H018-HEIL,5/31/2024,7/17/2024,47,2,36494.6,80.55,435.41,453.1,2024-May
J006-JSPRM,6/4/2024,6/4/2024,1,1,1550,8.33,8.54,186.1,2024-Jun
M049-MASTE,6/5/2024,11/12/2024,160,18,62108.58,324.54,413.32,191.4,2024-Jun
E027-ENERG,6/6/2024,10/21/2024,137,4,5369.88,54.22,22.59,99.0,2024-Jun
L019-LEEMN,6/6/2024,6/6/2024,1,1,6235.82,0,1440.16,0.0,2024-Jun
S027-SCT,6/19/2024,6/19/2024,1,1,95.13,8.78,8.79,10.8,2024-Jun
S024-SMF,6/26/2024,6/26/2024,1,1,174.52,0.13,8.13,1342.5,2024-Jun
T052-TGSP,7/2/2024,7/2/2024,1,1,92.01,0,8.05,0.0,2024-Jul
R002-ROADT,8/22/2024,10/30/2024,69,3,10890,80.25,359.98,135.7,2024-Aug
F019-FSM,9/9/2024,9/9/2024,1,1,4255,14.24,254.18,298.8,2024-Sep
H035-HUBNE,9/25/2024,10/15/2024,20,13,13156.16,153.23,424.85,85.9,2024-Sep
T053,10/2/2024,10/2/2024,1,1,438.61,8,16.05,54.8,2024-Oct
H033-HERM,10/10/2024,10/10/2024,1,1,345.06,0,9.8,0.0,2024-Oct
T034-TENCA,11/11/2024,11/11/2024,1,1,594.24,0,8.68,0.0,2024-Nov
F024-FMW S,11/12/2024,11/12/2024,1,1,2218.57,0,33.1,0.0,2024-Nov
